No,Score,Label,Xmin,Ymin,Xmax,Ymax,Correct
340,0.9926921725273132,Notwaza,88.15970611572266,134.834228515625,156.0333251953125,235.691650390625,False
341,0.9920427203178406,Notwaza,88.94043731689453,134.8814239501953,155.46810913085938,235.3063507080078,False
342,0.9882381558418274,Notwaza,86.902099609375,136.377197265625,152.12318420410156,235.6434326171875,False
343,0.9829635620117188,Notwaza,86.63096618652344,136.08584594726562,151.5892791748047,235.21536254882812,False
344,0.9526727795600891,Notwaza,85.50173950195312,130.94383239746094,152.470458984375,234.9228057861328,False
345,0.9439206719398499,Notwaza,84.31559753417969,130.99246215820312,153.27813720703125,234.45230102539062,False
346,0.9306877851486206,Notwaza,83.84535217285156,134.5309600830078,150.05255126953125,226.16880798339844,False
347,0.9570111036300659,Notwaza,84.27412414550781,134.36614990234375,149.51068115234375,226.78622436523438,False
348,0.9415572285652161,Notwaza,85.52630615234375,132.5034637451172,146.35366821289062,227.2576141357422,False
349,0.9545483589172363,Notwaza,85.3670883178711,132.32850646972656,146.69436645507812,227.2936553955078,False
350,0.82242351770401,Notwaza,82.12078857421875,132.29405212402344,146.8680419921875,225.17784118652344,False
351,0.8587385416030884,Notwaza,81.37997436523438,132.08367919921875,147.45333862304688,225.23757934570312,False
352,0.7300832271575928,Notwaza,82.1824951171875,133.70437622070312,146.43466186523438,223.052734375,False
353,0.7078844308853149,Notwaza,81.73838806152344,107.03201293945312,147.62860107421875,236.30728149414062,False
354,0.7863117456436157,Notwaza,71.54095458984375,133.71559143066406,147.27879333496094,225.42189025878906,False
355,0.8675001859664917,Notwaza,70.7965316772461,135.225830078125,147.0123291015625,224.53350830078125,False
356,0.965911328792572,Notwaza,71.99700927734375,134.2352294921875,143.33660888671875,229.38992309570312,False
357,0.9644162654876709,Notwaza,72.53260803222656,133.80552673339844,142.20919799804688,230.10816955566406,False
358,0.9467459321022034,Notwaza,72.20182800292969,133.88455200195312,139.14903259277344,230.92544555664062,False
359,0.9452191591262817,Notwaza,71.49000549316406,134.269775390625,140.0408935546875,230.6102294921875,False
360,0.9537510871887207,Notwaza,68.80155944824219,131.19076538085938,140.83384704589844,233.65695190429688,False
361,0.9586975574493408,Notwaza,69.43226623535156,131.88983154296875,139.71372985839844,233.12420654296875,False
362,0.9063231348991394,Notwaza,75.3248291015625,135.87327575683594,138.66937255859375,231.59129333496094,False
363,0.8878024816513062,Notwaza,76.31593322753906,134.87042236328125,137.75485229492188,232.5018310546875,False
364,0.8330504298210144,Notwaza,68.32081604003906,131.3577880859375,144.90798950195312,239.3204345703125,False
365,0.749897301197052,Notwaza,68.33274841308594,130.37864685058594,146.04270935058594,240.40235900878906,False
370,0.5546299815177917,U-smash,171.10171508789062,126.58558654785156,226.36666870117188,168.0181121826172,False
382,0.643169105052948,D-throw,122.61138916015625,124.40257263183594,229.33767700195312,224.14527893066406,False
383,0.6116215586662292,D-throw,120.68798828125,125.18206787109375,231.71026611328125,223.82275390625,False
386,0.5217753052711487,F-air,99.41143035888672,150.3819580078125,162.87229919433594,206.7294921875,False
388,0.504489004611969,Side-B,87.20846557617188,149.82266235351562,154.0049285888672,214.27484130859375,False
415,0.7432377934455872,F-air,44.2889289855957,197.3527069091797,160.30361938476562,239.71495056152344,False
416,0.7507941126823425,F-air,52.97207260131836,195.6514129638672,153.4025421142578,241.62461853027344,False
417,0.8198291063308716,F-air,52.63017272949219,196.08578491210938,153.79205322265625,241.4190673828125,False
427,0.5672220587730408,Notwaza,53.62657165527344,165.0037078857422,147.8144073486328,235.10182189941406,False
428,0.7381080389022827,Notwaza,57.75271224975586,139.5244903564453,150.30625915527344,237.5670623779297,False
429,0.9543797969818115,Notwaza,61.01161575317383,133.9327392578125,125.86207580566406,242.54898071289062,False
430,0.9571155309677124,Notwaza,60.723114013671875,135.070556640625,125.61442565917969,241.36279296875,False
431,0.960300862789154,Notwaza,59.81943130493164,137.27362060546875,126.33451843261719,239.4210205078125,False
432,0.9654513001441956,Notwaza,59.42584228515625,137.36334228515625,126.56248474121094,239.37014770507812,False
433,0.9359591603279114,Notwaza,61.336273193359375,134.381591796875,125.81404113769531,242.40713500976562,False
434,0.9578257203102112,Notwaza,61.04121017456055,136.06776428222656,125.91667175292969,240.3415985107422,False
435,0.9509369730949402,Notwaza,60.397613525390625,132.5822296142578,126.16148376464844,243.2651824951172,False
436,0.9544088840484619,Notwaza,59.741004943847656,133.13803100585938,126.65369415283203,242.31869506835938,False
437,0.9399294853210449,Notwaza,58.7826042175293,133.97164916992188,126.58978271484375,241.14297485351562,False
438,0.9462159276008606,Notwaza,58.34616470336914,133.41726684570312,126.810791015625,241.24603271484375,False
439,0.8887631297111511,Notwaza,60.50772476196289,140.48382568359375,125.10894775390625,234.5330810546875,False
440,0.8722622394561768,Notwaza,60.2152214050293,139.66773986816406,125.21321105957031,235.39720153808594,False
441,0.8815571665763855,Notwaza,60.89424133300781,137.6143341064453,125.02543640136719,235.82933044433594,False
442,0.6439422965049744,Notwaza,60.392757415771484,140.1432342529297,126.89682006835938,231.8845672607422,False
443,0.6303046345710754,Notwaza,60.122005462646484,138.93597412109375,126.61643981933594,233.27127075195312,False
444,0.5647407174110413,Notwaza,57.876930236816406,153.22842407226562,128.14230346679688,234.57958984375,False
445,0.6349015235900879,Notwaza,58.75946807861328,152.78195190429688,126.52338409423828,235.444091796875,False
447,0.5314714908599854,Notwaza,58.66516876220703,151.33538818359375,127.0570297241211,237.29116821289062,False
460,0.752800464630127,D-air,55.41544723510742,113.44790649414062,120.8616943359375,190.67929077148438,False
461,0.7709305286407471,D-air,54.90380096435547,114.0400390625,121.40331268310547,190.7696533203125,False
462,0.662453293800354,D-air,41.808799743652344,115.23052978515625,136.196044921875,191.4713134765625,False
463,0.7175014615058899,D-air,42.197757720947266,114.89103698730469,135.79876708984375,191.1879119873047,False
464,0.7063257098197937,D-air,45.66448211669922,113.87175750732422,173.97079467773438,189.15481567382812,False
465,0.6870843172073364,D-air,43.72856903076172,114.8287124633789,173.87246704101562,188.56549072265625,False
466,0.8558459281921387,D-air,59.27838897705078,119.37055206298828,123.8854751586914,185.00802612304688,False
466,0.6294059157371521,D-air,38.0406494140625,114.46755981445312,189.7432861328125,182.55032348632812,False
467,0.6375465989112854,D-air,36.55219268798828,114.26993560791016,188.76455688476562,182.90786743164062,False
467,0.8685650825500488,D-air,58.4184455871582,119.9622573852539,124.01219177246094,184.85321044921875,False
470,0.7835198044776917,D-air,57.02899932861328,130.4673309326172,125.40889739990234,203.75526428222656,False
471,0.8296695351600647,D-air,55.82960891723633,131.50338745117188,125.78419494628906,203.79656982421875,False
472,0.9052823185920715,D-air,53.417755126953125,140.72921752929688,128.42471313476562,199.6175537109375,False
473,0.9049705266952515,D-air,53.12066650390625,140.88330078125,128.43853759765625,199.3377685546875,False
474,0.6605682373046875,D-air,36.49724197387695,142.0260772705078,142.1533966064453,212.60829162597656,False
475,0.5875740647315979,D-air,35.869590759277344,142.0052032470703,144.05941772460938,213.46531677246094,False
476,0.7572286128997803,D-air,35.82215118408203,148.4076690673828,143.97808837890625,217.4462127685547,False
477,0.7026974558830261,D-air,36.8963737487793,148.97923278808594,142.8816680908203,217.1471405029297,False
478,0.5862736105918884,D-air,43.35045623779297,143.8477325439453,138.31784057617188,224.1986846923828,False
479,0.6197395920753479,D-air,42.34843063354492,141.85716247558594,138.49607849121094,225.15113830566406,False
480,0.8600044250488281,D-air,33.39357376098633,151.09201049804688,143.57290649414062,242.59872436523438,False
481,0.891486644744873,D-air,33.09132766723633,149.36839294433594,143.50979614257812,244.1128692626953,False
508,0.6839938759803772,Notwaza,59.36511993408203,138.1081085205078,136.90234375,241.6377716064453,False
509,0.6979344487190247,Notwaza,59.843841552734375,137.13204956054688,136.61654663085938,242.501708984375,False
510,0.8443716764450073,Notwaza,61.174842834472656,154.27682495117188,127.71453094482422,234.085205078125,False
511,0.8526125550270081,Notwaza,61.8129997253418,152.59361267089844,127.05130004882812,235.7150421142578,False
512,0.8517125248908997,Notwaza,60.615989685058594,153.84315490722656,127.99401092529297,233.80650329589844,False
513,0.8513256907463074,Notwaza,59.96393966674805,153.04188537597656,128.28878784179688,234.4975128173828,False
514,0.8450216054916382,Notwaza,58.96242141723633,127.87004852294922,128.46690368652344,249.52496337890625,False
515,0.8479580879211426,Notwaza,58.98079299926758,151.49896240234375,128.5576629638672,235.61859130859375,False
516,0.8532304763793945,Notwaza,66.91072082519531,140.0335235595703,128.7537384033203,235.5449676513672,False
517,0.8388429284095764,Notwaza,66.65963745117188,140.19589233398438,129.0091094970703,235.7255859375,False
518,0.8452953100204468,Notwaza,59.2448616027832,129.0929718017578,127.33088684082031,245.80421447753906,False
519,0.7557106018066406,Notwaza,59.519901275634766,130.35400390625,126.13262939453125,244.7947998046875,False
520,0.8527100682258606,Notwaza,61.32852554321289,129.9918975830078,125.59536743164062,245.40110778808594,False
521,0.8705191612243652,Notwaza,61.75456237792969,130.9801483154297,125.69760131835938,245.07850646972656,False
522,0.7308420538902283,Notwaza,63.52350997924805,139.08551025390625,133.6878204345703,229.84918212890625,False
523,0.708838164806366,Notwaza,62.936397552490234,140.1495819091797,134.15037536621094,228.2259979248047,False
524,0.750309407711029,Notwaza,64.27460479736328,137.27618408203125,132.89627075195312,231.6226806640625,False
525,0.6871950626373291,Notwaza,62.865623474121094,137.75099182128906,134.27105712890625,231.6354522705078,False
526,0.5436304211616516,Notwaza,60.637550354003906,138.58924865722656,127.50586700439453,234.1350860595703,False
527,0.5763922929763794,Notwaza,61.75387954711914,138.95077514648438,126.63113403320312,233.483154296875,False
528,0.6797200441360474,Notwaza,60.251556396484375,131.68455505371094,136.40383911132812,234.27012634277344,False
529,0.668606698513031,Notwaza,60.10194778442383,130.40478515625,136.23001098632812,235.28146362304688,False
530,0.5761139988899231,Notwaza,61.44572830200195,139.91505432128906,126.15812683105469,230.94044494628906,False
531,0.533933699131012,Notwaza,61.11519241333008,138.995361328125,126.38027954101562,231.76043701171875,False
532,0.7743784189224243,Notwaza,62.519737243652344,141.05776977539062,124.56914520263672,229.6015625,False
